maturity,model,metric,mean,std,min,max,n_seeds,stable_non_negative,stable_positive
1M,Heston-SLV,PFE gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
1M,Heston-SLV,WWR delta %,5.2216961040837875,0.014811019861671227,5.205948107126558,5.235346498776231,3,True,True
1M,Heston-SLV,model gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
1M,Rough-SLV,PFE gap vs Heston %,4.561187566850264,0.2134805465369926,4.41336347748096,4.8059357104757865,3,True,True
1M,Rough-SLV,WWR delta %,5.732390078743793,0.03229629432374504,5.695927591140038,5.75739744793969,3,True,True
1M,Rough-SLV,model gap vs Heston %,0.5555143391985663,0.03205635435618197,0.5187793273052878,0.5778206305556611,3,True,True
3M,Heston-SLV,PFE gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
3M,Heston-SLV,WWR delta %,9.064857513340685,0.03715873549736503,9.023320666300272,9.094942018506044,3,True,True
3M,Heston-SLV,model gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
3M,Rough-SLV,PFE gap vs Heston %,9.854644389890721,0.0881563795551583,9.768809825106574,9.944952260720903,3,True,True
3M,Rough-SLV,WWR delta %,11.625263496398249,0.4362851017638027,11.242660925684069,12.100388925695258,3,True,True
3M,Rough-SLV,model gap vs Heston %,2.5938865885600926,0.3681844927349333,2.302650741494399,3.0077321798090533,3,True,True
1Y,Heston-SLV,PFE gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
1Y,Heston-SLV,WWR delta %,15.817345409152159,0.08400014955820302,15.754655078810204,15.91278789865897,3,True,True
1Y,Heston-SLV,model gap vs Heston %,0.0,0.0,0.0,0.0,3,True,False
1Y,Rough-SLV,PFE gap vs Heston %,13.740312670183217,0.32213616552428337,13.543352642954387,14.112063190611307,3,True,True
1Y,Rough-SLV,WWR delta %,20.48518764493051,0.16264247174918411,20.303855144879833,20.6181796192345,3,True,True
1Y,Rough-SLV,model gap vs Heston %,4.497821175627853,0.15192036561550215,4.329687080618675,4.625224028886246,3,True,True
